year,speaker,alias,party,winner,incumbent
1960,KENNEDY,KENNEDY,Democrat,1,0
1960,NIXON,NIXON,Republican,0,0
1976,CARTER,CARTER,Democrat,1,0
1976,FORD,FORD,Republican,0,1
1980,REAGAN,REAGAN,Republican,1,0
1980,CARTER,CARTER,Democrat,0,1
1984,REAGAN,REAGAN,Republican,1,1
1984,MONDALE,MONDALE,Democrat,0,0
1988,BUSH,G. H. BUSH,Republican,1,0
1988,DUKAKIS,DUKAKIS,Democrat,0,0
1992,CLINTON,B. CLINTON,Democrat,1,0
1992,BUSH,G. H. BUSH,Republican,0,1
1992,PEROT,PEROT,Independent,0,0
1996,CLINTON,B. CLINTON,Democrat,1,1
1996,DOLE,DOLE,Republican,0,0
2000,BUSH,G. W. BUSH,Republican,1,0
2000,GORE,GORE,Democrat,0,0
2004,BUSH,G. W. BUSH,Republican,1,1
2004,KERRY,KERRY,Democrat,0,0
2008,OBAMA,OBAMA,Democrat,1,0
2008,MCCAIN,MCCAIN,Republican,0,0
2012,OBAMA,OBAMA,Democrat,1,1
2012,ROMNEY,ROMNEY,Republican,0,0
2016,CLINTON,H. R. CLINTON,Democrat,0,0
2016,TRUMP,TRUMP,Republican,0,0
1960,MODERATOR,MODERATOR,MODERATOR,0,0
1976,MODERATOR,MODERATOR,MODERATOR,0,0
1980,MODERATOR,MODERATOR,MODERATOR,0,0
1984,MODERATOR,MODERATOR,MODERATOR,0,0
1988,MODERATOR,MODERATOR,MODERATOR,0,0
1992,MODERATOR,MODERATOR,MODERATOR,0,0
1996,MODERATOR,MODERATOR,MODERATOR,0,0
2000,MODERATOR,MODERATOR,MODERATOR,0,0
2004,MODERATOR,MODERATOR,MODERATOR,0,0
2008,MODERATOR,MODERATOR,MODERATOR,0,0
2012,MODERATOR,MODERATOR,MODERATOR,0,0
2016,MODERATOR,MODERATOR,MODERATOR,0,0
